Member_number,itemDescription
2839,specialty chocolate
2839,soda
2838,bottled water
2838,rolls/buns
2838,pastry
2838,liver loaf
2838,waffles
2838,vinegar
2838,berries
2836,shopping bags
2836,UHT-milk
2836,napkins
2836,root vegetables
2836,butter
2836,whole milk
2836,berries
2836,tropical fruit
2836,meat
2836,butter milk
2834,beef
2834,yogurt
2834,napkins
2834,cream cheese
2834,sliced cheese
2834,shopping bags
2834,other vegetables
2834,soda
2832,bottled water
2832,whole milk
2832,other vegetables
2832,sausage
2832,curd
2832,domestic eggs
2832,frozen vegetables
2832,specialty chocolate
2831,fruit/vegetable juice
2831,pip fruit
2831,frankfurter
2831,soda
2831,butter
2831,frozen dessert
2831,sliced cheese
2831,margarine
2829,beef
2829,pork
2829,detergent
2829,margarine
2829,pip fruit
2829,soda
2829,frankfurter
2829,chewing gum
2827,shopping bags
2827,beef
2827,bottled beer
2827,whipped/sour cream
2827,citrus fruit
2827,domestic eggs
2827,whole milk
2826,other vegetables
2826,frankfurter
2825,frozen potato products
2825,mustard
2825,frankfurter
2825,whole milk
2825,sausage
2825,soda
2825,root vegetables
2825,curd cheese
2823,napkins
2823,frozen vegetables
2823,pastry
2823,yogurt
2823,waffles
2820,tropical fruit
2820,soda
2818,whole milk
2818,tropical fruit
2818,root vegetables
2818,bottled water
2817,soda
2817,chewing gum
2817,baking powder
2817,pork
2817,beverages
2817,bottled water
2817,pastry
2817,brandy
2816,seasonal products
2816,root vegetables
2816,bottled beer
2816,margarine
2816,chewing gum
2816,onions
2816,chicken
2816,whole milk
2816,fruit/vegetable juice
2816,pastry
2816,grapes
2816,tropical fruit
2816,mustard
2816,salty snack
2816,frozen vegetables
2816,other vegetables
2816,canned beer
2816,citrus fruit
2816,rolls/buns
2816,yogurt
2814,berries
2814,butter
2814,pip fruit
2814,yogurt
2814,dish cleaner
2814,rolls/buns
2814,specialty cheese
2814,whole milk
2814,hamburger meat
2814,onions
2814,ice cream
2814,root vegetables
2814,specialty bar
2813,female sanitary products
2813,whole milk
2813,other vegetables
2813,yogurt
2813,cake bar
2813,coffee
2813,chocolate
2813,sausage
2813,tropical fruit
2813,soda
2813,pip fruit
2806,whipped/sour cream
2806,brown bread
2806,canned beer
2806,red/blush wine
2806,onions
2806,curd
2806,bottled water
2805,bottled water
2805,packaged fruit/vegetables
2805,pickled vegetables
2805,ice cream
2805,cat food
2805,dessert
2805,canned beer
2805,pastry
2805,curd
2805,coffee
2805,rolls/buns
2803,butter milk
2803,shopping bags
2803,tropical fruit
2803,margarine
2803,canned beer
2803,oil
2803,rolls/buns
2803,curd
2803,yogurt
2803,coffee
2802,canned beer
2802,whole milk
2802,white wine
2802,chocolate
2802,condensed milk
2802,frozen vegetables
2800,dessert
2800,pip fruit
2800,other vegetables
2800,frozen fish
2800,soda
2800,sauces
2800,margarine
2800,citrus fruit
2800,sugar
2800,brown bread
2800,beverages
2794,yogurt
2794,whole milk
2794,bottled beer
2794,sausage
2794,brandy
2794,fruit/vegetable juice
2794,liquor
2794,curd
2794,canned beer
2794,whipped/sour cream
2794,margarine
2794,specialty chocolate
2794,ham
2794,chicken
2792,domestic eggs
2792,sliced cheese
2792,root vegetables
2792,pastry
2792,berries
2792,canned beer
2792,whole milk
2792,mayonnaise
2792,bottled beer
2792,condensed milk
2792,brown bread
2792,liver loaf
2792,rolls/buns
2792,frankfurter
2792,frozen fish
2790,berries
2790,semi-finished bread
2790,yogurt
2790,other vegetables
2790,tropical fruit
2790,sausage
2790,cereals
2786,soda
2786,butter
2786,brown bread
2786,other vegetables
2786,specialty chocolate
2786,semi-finished bread
2786,sausage
2785,chocolate
2785,semi-finished bread
2785,frozen meals
2785,shopping bags
2785,chicken
2785,beef
2785,tropical fruit
2785,pork
2785,whole milk
2783,cream cheese
2783,citrus fruit
2780,other vegetables
2780,liquor
2780,liver loaf
2780,herbs
2780,whole milk
2778,other vegetables
2778,grapes
2778,bottled beer
2778,yogurt
2778,soda
2778,pip fruit
2778,shopping bags
2778,domestic eggs
2777,herbs
2777,pastry
2777,whole milk
2777,soda
2777,chocolate
2774,soda
2774,domestic eggs
2774,dessert
2774,yogurt
2774,other vegetables
2774,shopping bags
2774,whole milk
2773,margarine
2773,female sanitary products
2770,yogurt
2770,pip fruit
2770,soda
2770,coffee
2769,beef
2769,rolls/buns
2769,misc. beverages
2769,roll products
2769,root vegetables
2769,pork
2769,sparkling wine
2769,frozen dessert
2769,bottled water
2769,canned beer
2768,pot plants
2768,salt
2768,baking powder
2768,pip fruit
2768,meat
2768,tropical fruit
2768,pastry
2764,other vegetables
2764,yogurt
2764,margarine
2764,tropical fruit
2764,UHT-milk
2764,beverages
2764,curd
2764,whipped/sour cream
2764,domestic eggs
2764,bottled water
2764,candy
2763,shopping bags
2763,pork
2763,canned fish
2763,root vegetables
2763,canned beer
2763,whipped/sour cream
2763,yogurt
2763,rolls/buns
2762,whole milk
2762,beef
2762,pastry
2762,dessert
2762,red/blush wine
2762,specialty bar
2761,other vegetables
2761,shopping bags
2761,frozen vegetables
2761,whipped/sour cream
2761,rolls/buns
2761,brown bread
2761,margarine
2761,citrus fruit
2761,chocolate
2761,pork
2761,semi-finished bread
2761,rice
2756,red/blush wine
2756,rolls/buns
2756,processed cheese
2756,hamburger meat
2756,curd
2756,fruit/vegetable juice
2756,canned fish
2756,misc. beverages
2756,sausage
2755,chocolate
2755,whole milk
2755,salty snack
2755,frozen vegetables
2755,napkins
2755,soda
2755,fruit/vegetable juice
2755,rolls/buns
2755,other vegetables
2755,beef
2753,bottled water
2753,butter
2753,bottled beer
2753,whole milk
2753,nuts/prunes
2753,whipped/sour cream
2753,cream cheese
2753,sugar
2751,shopping bags
2751,root vegetables
2751,rolls/buns
2751,frozen meals
2751,soda
2751,brown bread
2751,tropical fruit
2751,bottled water
2751,female sanitary products
2751,sliced cheese
2750,rolls/buns
2750,waffles
2750,sparkling wine
2750,whole milk
2750,pork
2750,other vegetables
2750,onions
2750,domestic eggs
2748,misc. beverages
2748,processed cheese
2745,butter milk
2745,berries
2745,root vegetables
2745,tropical fruit
2745,other vegetables
2745,oil
2745,dessert
2745,frankfurter
2745,rolls/buns
2745,coffee
2745,vinegar
2745,butter
2745,meat
2742,onions
2742,cream cheese
2742,spread cheese
2742,misc. beverages
2742,coffee
2742,UHT-milk
2742,dessert
2742,other vegetables
2740,whipped/sour cream
2740,meat
2740,specialty bar
2740,curd
2738,ice cream
2738,pot plants
2738,whole milk
2738,onions
2738,red/blush wine
2738,pickled vegetables
2738,sugar
2738,other vegetables
2738,rolls/buns
2738,pastry
2738,beef
2738,frankfurter
2738,frozen meals
2738,brown bread
2738,root vegetables
2738,canned beer
2738,frozen dessert
2737,shopping bags
2737,frozen vegetables
2737,other vegetables
2737,root vegetables
2737,domestic eggs
2736,margarine
2736,onions
2736,pastry
2736,butter milk
2736,frozen vegetables
2736,napkins
2736,processed cheese
2736,semi-finished bread
2736,whole milk
2736,pip fruit
2736,sugar
2736,UHT-milk
2736,meat
2736,tropical fruit
2736,turkey
2736,beef
2736,curd
2736,pork
2736,soda
2735,other vegetables
2735,yogurt
2732,berries
2732,soda
2732,grapes
2732,frozen fish
2732,salty snack
2732,sausage
2732,dessert
2732,vinegar
2732,brown bread
2732,other vegetables
2731,ice cream
2731,grapes
2731,whole milk
2729,other vegetables
2729,citrus fruit
2729,hamburger meat
2729,red/blush wine
2729,bottled water
2729,pork
2729,beef
2729,spices
2729,candy
2729,butter
2729,cling film/bags
2729,whole milk
2729,cream cheese
2729,soft cheese
2728,beef
2728,root vegetables
2728,whole milk
2728,butter milk
2726,butter milk
2726,yogurt
2726,soft cheese
2726,pastry
2726,canned beer
2726,shopping bags
2726,cream cheese
2724,ice cream
2724,pastry
2724,specialty chocolate
2724,tropical fruit
2724,semi-finished bread
2724,rolls/buns
2721,root vegetables
2721,cream cheese
2721,frankfurter
2721,yogurt
2721,butter
2720,turkey
2720,rolls/buns
2719,other vegetables
2719,rolls/buns
2719,hygiene articles
2719,whole milk
2719,coffee
2719,berries
2719,soda
2719,frankfurter
2719,grapes
2719,sugar
2719,root vegetables
2719,citrus fruit
2717,fruit/vegetable juice
2716,curd cheese
2716,dessert
2716,soda
2716,ice cream
2716,tropical fruit
2716,bottled water
2716,sausage
2716,pastry
2716,curd
2716,beef
2716,yogurt
2716,rolls/buns
2713,other vegetables
2713,ketchup
2713,coffee
2713,frozen meals
2713,bottled beer
2713,rolls/buns
2713,napkins
2713,canned beer
2713,specialty chocolate
2709,bottled water
2709,dessert
2709,yogurt
2709,citrus fruit
2709,curd
2709,whole milk
2709,frozen vegetables
2709,rolls/buns
2709,other vegetables
2708,artif. sweetener
2708,coffee
2708,frozen meals
2708,soda
2708,instant coffee
2707,whole milk
2707,meat
2707,waffles
2707,pastry
2707,domestic eggs
2707,margarine
2707,shopping bags
2707,yogurt
2707,brown bread
2707,bottled water
2707,specialty bar
2707,chicken
2707,frankfurter
2707,detergent
2706,specialty chocolate
2706,sliced cheese
2706,liquor
2706,whipped/sour cream
2706,bottled water
2706,citrus fruit
2706,sausage
2706,popcorn
2706,tropical fruit
2706,soda
2706,frankfurter
2706,specialty bar
2706,ham
2706,sugar
2706,whole milk
2706,white wine
2706,misc. beverages
2706,other vegetables
2706,cake bar
2706,detergent
2706,oil
2705,meat
2705,shopping bags
2705,whole milk
2705,root vegetables
2705,hamburger meat
2702,tropical fruit
2702,pastry
2702,whipped/sour cream
2702,pork
2702,other vegetables
2702,brown bread
2702,bottled water
2701,rolls/buns
2701,salt
2701,margarine
2701,spread cheese
2701,red/blush wine
2701,chocolate marshmallow
2701,butter
2701,soda
2701,ham
2701,salty snack
2701,whole milk
2699,other vegetables
2699,whipped/sour cream
2699,sauces
2699,yogurt
2699,soda
2699,nuts/prunes
2699,butter
2699,sliced cheese
2699,pastry
2699,whole milk
2698,chewing gum
2698,other vegetables
2698,whole milk
2698,yogurt
2698,pastry
2698,bottled water
2698,beef
2697,soft cheese
2697,dishes
2697,coffee
2697,berries
2695,bottled beer
2695,pork
2695,hamburger meat
2695,tropical fruit
2695,UHT-milk
2695,whole milk
2695,frozen meals
2692,beef
2692,root vegetables
2692,white wine
2692,butter
2692,pastry
2692,sugar
2692,soda
2692,hygiene articles
2692,butter milk
2692,UHT-milk
2691,tropical fruit
2691,pip fruit
2691,other vegetables
2691,liver loaf
2691,rolls/buns
2691,beef
2691,frankfurter
2691,domestic eggs
2691,citrus fruit
2689,curd
2689,rolls/buns
2689,brown bread
2689,root vegetables
2689,bottled water
2689,hard cheese
2689,bottled beer
2689,whole milk
2689,canned fish
2689,nuts/prunes
2689,sausage
2687,sausage
2687,rolls/buns
2687,mustard
2687,instant coffee
2687,shopping bags
2687,detergent
2687,frozen fish
2687,fruit/vegetable juice
2687,curd
2687,spices
2687,root vegetables
2686,pastry
2686,ready soups
2686,soda
2686,whole milk
2685,soda
2685,seasonal products
2685,citrus fruit
2685,yogurt
2685,rolls/buns
2685,fruit/vegetable juice
2685,frankfurter
2685,butter
2685,whole milk
2685,bottled water
2685,other vegetables
2684,salt
2684,citrus fruit
2684,rolls/buns
2683,soda
2683,red/blush wine
2683,beverages
2683,berries
2683,rolls/buns
2682,root vegetables
2682,canned beer
2682,other vegetables
2682,sausage
2682,cream cheese
2682,soda
2682,herbs
2682,bottled beer
2682,whole milk
2681,fruit/vegetable juice
2681,pastry
2681,soda
2681,beef
2681,cream cheese
2681,pork
2676,baking powder
2676,whipped/sour cream
2676,chicken
2676,soda
2676,bottled water
2676,rolls/buns
2676,other vegetables
2676,white wine
2676,liver loaf
2676,citrus fruit
2676,canned beer
2676,margarine
2676,candy
2675,canned beer
2675,UHT-milk
2675,margarine
2675,rolls/buns
2675,cling film/bags
2672,frankfurter
2672,beverages
2672,waffles
2672,frozen meals
2672,pastry
2672,flour
2672,ham
2672,sausage
2672,yogurt
2672,soda
2670,onions
2670,whole milk
2670,berries
2670,yogurt
2670,brown bread
2670,pip fruit
2668,whole milk
2668,other vegetables
2667,fruit/vegetable juice
2667,root vegetables
2667,frankfurter
2667,shopping bags
2667,domestic eggs
2666,margarine
2666,soda
2666,chocolate
2666,whole milk
2666,sausage
2666,fruit/vegetable juice
2666,UHT-milk
2666,root vegetables
2666,pastry
2666,meat
2666,frozen vegetables
2666,dessert
2666,bottled beer
2664,sausage
2664,chicken
2664,domestic eggs
2664,pickled vegetables
2664,citrus fruit
2664,pasta
2663,bottled water
2663,other vegetables
2663,sausage
2663,canned beer
2663,tropical fruit
2663,rum
2663,cat food
2663,kitchen towels
2663,pastry
2663,whole milk
2663,shopping bags
2663,waffles
2663,packaged fruit/vegetables
2663,yogurt
2663,whipped/sour cream
2663,bottled beer
2663,chicken
2663,berries
2663,chocolate
2663,ham
2663,semi-finished bread
2662,sausage
2662,pickled vegetables
2662,soda
2662,artif. sweetener
2662,root vegetables
2662,tropical fruit
2661,waffles
2661,bottled water
2661,other vegetables
2661,soda
2661,rolls/buns
2661,tropical fruit
2661,napkins
2661,whole milk
2660,whole milk
2660,bottled water
2660,specialty chocolate
2660,tropical fruit
2659,other vegetables
2659,pip fruit
2659,shopping bags
2659,yogurt
2659,tea
2659,tropical fruit
2659,hamburger meat
2659,rolls/buns
2659,domestic eggs
2659,brown bread
2659,sausage
2656,pot plants
2656,dish cleaner
2656,margarine
2656,hamburger meat
2656,yogurt
2656,beef
2656,bottled water
2656,bottled beer
2654,misc. beverages
2654,whole milk
2654,root vegetables
2654,cat food
2654,citrus fruit
2654,sausage
2654,coffee
2654,pasta
2654,other vegetables
2654,frankfurter
2654,soda
2654,curd
2654,berries
2654,rolls/buns
2654,bottled beer
2652,whole milk
2652,candy
2652,yogurt
2652,soda
2652,waffles
2652,pip fruit
2652,ham
2652,chicken
2652,margarine
2652,pastry
2652,kitchen towels
2652,seasonal products
2649,chocolate
2649,root vegetables
2649,shopping bags
2649,bottled water
2649,baking powder
2649,hard cheese
2649,whole milk
2646,napkins
2646,pastry
2646,liver loaf
2646,root vegetables
2646,rolls/buns
2646,soda
2646,specialty chocolate
2643,fruit/vegetable juice
2643,rolls/buns
2643,tropical fruit
2643,dessert
2643,whole milk
2643,citrus fruit
2643,hygiene articles
2643,spread cheese
2643,coffee
2643,waffles
2641,frozen fruits
2641,butter
2641,fruit/vegetable juice
2641,beverages
2641,whole milk
2641,soda
2641,frozen potato products
2641,brown bread
2641,oil
2641,frozen meals
2641,other vegetables
2638,misc. beverages
2638,mayonnaise
2638,root vegetables
2638,turkey
2636,sliced cheese
2636,whole milk
2636,onions
2636,margarine
2636,chewing gum
2636,hamburger meat
2636,finished products
2636,yogurt
2636,pastry
2636,sausage
2635,specialty bar
2635,berries
2635,tropical fruit
2635,whole milk
2635,rolls/buns
2635,frankfurter
2633,hard cheese
2633,frankfurter
2633,frozen meals
2633,whole milk
2633,bottled water
2633,rolls/buns
2633,other vegetables
2633,waffles
2633,brown bread
2633,frozen potato products
2633,white wine
2633,root vegetables
2632,pot plants
2632,whole milk
2632,fruit/vegetable juice
2632,domestic eggs
2632,other vegetables
2632,frozen vegetables
2632,citrus fruit
2632,rolls/buns
2632,beef
2632,canned vegetables
2632,pork
2632,sausage
2632,frozen meals
2632,butter
2632,meat
2632,sugar
2632,whipped/sour cream
2632,root vegetables
2632,coffee
2630,shopping bags
2630,fruit/vegetable juice
2630,root vegetables
2630,white wine
2630,soda
2630,frankfurter
2630,processed cheese
2628,candy
2628,berries
2625,brown bread
2625,bottled beer
2625,cream cheese
2625,specialty chocolate
2625,whole milk
2625,curd
2625,rolls/buns
2625,other vegetables
2625,sausage
2625,pork
2625,specialty bar
2625,yogurt
2625,shopping bags
2625,margarine
2625,baking powder
2625,chicken
2625,citrus fruit
2625,bottled water
2625,frozen meals
2624,whipped/sour cream
2624,ice cream
2624,specialty chocolate
2624,tropical fruit
2623,margarine
2623,fish
2623,canned beer
2623,processed cheese
2623,brown bread
2623,rolls/buns
2623,whole milk
2623,chocolate
2618,bottled water
2618,tropical fruit
2618,specialty chocolate
2618,bottled beer
2618,misc. beverages
2618,artif. sweetener
2618,whipped/sour cream
2618,yogurt
2618,fruit/vegetable juice
2618,soda
2618,berries
2618,salty snack
2617,root vegetables
2617,liquor
2617,chewing gum
2617,ham
2617,frozen meals
2617,pastry
2617,dessert
2617,rolls/buns
2617,soda
2617,frozen vegetables
2617,whole milk
2617,other vegetables
2617,yogurt
2616,soda
2616,whole milk
2616,pip fruit
2616,candy
2616,pork
2616,root vegetables
2615,bottled water
2615,chocolate
2615,rolls/buns
2615,frozen vegetables
2614,rolls/buns
2614,whole milk
2612,beverages
2612,frozen meals
2612,tropical fruit
2612,pastry
2612,white bread
2612,red/blush wine
2612,soda
2612,dessert
2612,citrus fruit
2612,bottled water
2612,pip fruit
2612,berries
2612,specialty bar
2611,packaged fruit/vegetables
2611,domestic eggs
2611,margarine
2611,roll products
2611,frankfurter
2611,chewing gum
2611,bottled water
2608,rolls/buns
2608,pasta
2608,pastry
2608,yogurt
2608,whole milk
2608,tropical fruit
2608,other vegetables
2608,cream cheese
2606,chicken
2606,tropical fruit
2606,citrus fruit
2606,rolls/buns
2606,liquor
2606,whole milk
2605,ketchup
2605,pork
2605,other vegetables
2605,white bread
2605,yogurt
2604,dishes
2604,white bread
2604,tropical fruit
2604,bottled water
2604,mayonnaise
2604,butter milk
2604,other vegetables
2604,grapes
2604,whipped/sour cream
2604,whole milk
2604,root vegetables
2604,citrus fruit
2604,frankfurter
2602,pot plants
2602,whole milk
2602,sausage
2602,bottled water
2602,frankfurter
2602,shopping bags
2602,cream cheese
2602,root vegetables
2602,soups
2602,tropical fruit
2602,margarine
2600,fruit/vegetable juice
2600,berries
2600,yogurt
2600,pastry
2600,other vegetables
2600,frozen meals
2600,whole milk
2600,cake bar
2600,pip fruit
2600,female sanitary products
2600,frozen potato products
2600,curd
2600,frozen vegetables
2600,pork
2600,pet care
2600,bottled beer
2598,brandy
2598,pastry
2598,soda
2595,pastry
2595,curd
2595,dessert
2595,tropical fruit
2595,rolls/buns
2595,rum
2595,cream cheese
2595,brown bread
2595,sausage
2595,yogurt
2595,domestic eggs
2595,chewing gum
2595,herbs
2595,whole milk
2592,chicken
2592,sausage
2592,shopping bags
2592,pork
2592,bottled beer
2592,canned beer
2592,fruit/vegetable juice
2592,curd
2592,onions
2592,margarine
2592,grapes
2592,sugar
2592,yogurt
2592,rolls/buns
2592,soda
2591,beverages
2591,root vegetables
2591,soda
2590,hamburger meat
2590,tropical fruit
2590,pot plants
2590,whole milk
2590,frozen dessert
2590,snack products
2590,soda
2590,packaged fruit/vegetables
2590,whipped/sour cream
2584,curd
2584,chicken
2584,hard cheese
2584,shopping bags
2584,rolls/buns
2584,whole milk
2584,other vegetables
2584,domestic eggs
2584,bottled water
2584,bottled beer
2584,soap
2584,soda
2583,salt
2583,pip fruit
2583,tropical fruit
2583,chicken
2583,berries
2581,curd
2581,soda
2581,specialty bar
2581,canned beer
2581,coffee
2581,bottled water
2581,citrus fruit
2581,meat
2581,dessert
2581,frozen meals
2581,sparkling wine
2580,chicken
2580,pip fruit
2580,whipped/sour cream
2580,beef
2580,tropical fruit
2580,other vegetables
2580,yogurt
2580,sausage
2579,white wine
2579,cream cheese
2579,yogurt
2579,liquor
2579,whole milk
2578,whole milk
2578,canned beer
2578,frozen fish
2578,rolls/buns
2578,curd
2578,root vegetables
2578,brown bread
2578,bottled water
2578,yogurt
2578,other vegetables
2578,bottled beer
2578,mayonnaise
2578,shopping bags
2578,tropical fruit
2577,other vegetables
2577,sausage
2577,ice cream
2577,citrus fruit
2577,butter
2577,dessert
2577,root vegetables
2576,napkins
2576,meat
2576,fruit/vegetable juice
2576,popcorn
2575,beef
2575,chicken
2575,pot plants
2575,citrus fruit
2574,curd
2574,frozen vegetables
2574,beverages
2574,hygiene articles
2574,jam
2574,turkey
2574,salty snack
2574,other vegetables
2574,seasonal products
2574,meat
2574,canned beer
2571,root vegetables
2571,sugar
2571,yogurt
2571,pastry
2571,tropical fruit
2571,frankfurter
2571,sliced cheese
2570,other vegetables
2570,oil
2570,root vegetables
2570,frozen potato products
2570,soda
2570,roll products
2570,bottled water
2570,yogurt
2567,bottled beer
2567,grapes
2565,root vegetables
2565,sausage
2565,tropical fruit
2565,jam
2565,waffles
2565,butter milk
2565,frozen dessert
2565,yogurt
2565,bottled beer
2565,sliced cheese
2565,pip fruit
2564,root vegetables
2564,frankfurter
2564,frozen dessert
2564,pastry
2564,rolls/buns
2564,curd
2564,butter
2564,white wine
2562,frozen meals
2562,root vegetables
2562,oil
2562,yogurt
2562,coffee
2562,other vegetables
2562,whole milk
2558,rolls/buns
2558,grapes
2557,sausage
2557,white bread
2557,rolls/buns
2557,bottled water
2557,pork
2556,other vegetables
2556,beef
2556,soda
2556,sparkling wine
2556,chewing gum
2556,frozen fish
2556,specialty bar
2556,pastry
2555,mustard
2555,whipped/sour cream
2555,bottled beer
2555,tropical fruit
2555,beef
2555,brown bread
2555,yogurt
2555,curd
2555,liver loaf
2555,frankfurter
2555,processed cheese
2555,root vegetables
2555,frozen fish
2555,fruit/vegetable juice
2555,whole milk
2552,shopping bags
2552,hygiene articles
2552,tropical fruit
2552,root vegetables
2552,chocolate
2552,coffee
2552,female sanitary products
2552,pot plants
2552,other vegetables
2552,whole milk
2552,butter
2551,pot plants
2551,curd
2551,other vegetables
2551,citrus fruit
2551,rolls/buns
2551,beef
2549,ham
2549,beef
2549,soda
2549,pip fruit
2549,other vegetables
2549,jam
2549,frozen fish
2549,sausage
2549,bottled water
2549,dessert
2549,napkins
2549,tropical fruit
2547,frankfurter
2547,other vegetables
2547,soda
2547,rolls/buns
2547,sausage
2547,pet care
2547,tropical fruit
2547,butter
2547,specialty chocolate
2547,pip fruit
2547,processed cheese
2546,mustard
2546,rolls/buns
2546,candy
2546,fish
2546,pet care
2545,pastry
2545,other vegetables
2545,domestic eggs
2545,herbs
2545,frozen dessert
2545,processed cheese
2545,citrus fruit
2545,onions
2545,whole milk
2544,berries
2544,sausage
2544,processed cheese
2544,soda
2544,frozen potato products
2544,instant coffee
2544,vinegar
2544,tropical fruit
2543,pip fruit
2543,brown bread
2543,whipped/sour cream
2543,sauces
2543,soda
2543,root vegetables
2543,cream cheese
2543,dessert
2543,rolls/buns
2540,napkins
2540,cling film/bags
2540,tropical fruit
2540,artif. sweetener
2540,whole milk
2540,rolls/buns
2540,finished products
2540,sausage
2540,soda
2540,instant coffee
2540,canned beer
2540,bottled water
2540,cream cheese
2540,misc. beverages
2538,pastry
2538,other vegetables
2538,whipped/sour cream
2538,bottled water
2538,berries
2538,seasonal products
2535,rolls/buns
2535,frozen vegetables
2535,sausage
2535,pip fruit
2535,other vegetables
2535,white wine
2535,root vegetables
2535,frankfurter
2535,whole milk
2535,canned beer
2527,rice
2527,canned beer
2527,domestic eggs
2527,meat
2527,whole milk
2526,bottled beer
2526,coffee
2526,yogurt
2526,other vegetables
2525,chocolate
2525,soda
2525,chicken
2525,turkey
2525,baking powder
2525,whole milk
2525,shopping bags
2525,other vegetables
2525,canned beer
2525,beef
2524,sausage
2524,citrus fruit
2524,rolls/buns
2524,domestic eggs
2524,white wine
2524,frankfurter
2524,whole milk
2524,herbs
2524,chocolate
2524,other vegetables
2524,beef
2524,hygiene articles
2524,bottled beer
2524,pip fruit
2524,UHT-milk
2524,candy
2524,whipped/sour cream
2524,curd
2524,semi-finished bread
2524,dishes
2524,tea
2521,margarine
2521,hard cheese
2521,whole milk
2521,yogurt
2521,bottled water
2521,roll products
2521,pastry
2521,root vegetables
2521,citrus fruit
2520,soda
2520,dessert
2520,other vegetables
2520,whipped/sour cream
2513,margarine
2513,bottled beer
2513,ice cream
2513,yogurt
2513,canned beer
2513,rolls/buns
2513,chicken
2513,coffee
2513,detergent
2511,packaged fruit/vegetables
2511,soda
2511,other vegetables
2511,artif. sweetener
2511,whole milk
2511,specialty chocolate
2511,cat food
2511,turkey
2511,cocoa drinks
2511,bottled beer
2511,sugar
2511,pip fruit
2511,hamburger meat
2511,shopping bags
2511,bottled water
2510,chocolate
2510,bottled water
2510,soda
2510,margarine
2510,cling film/bags
2510,sugar
2510,frozen vegetables
2510,frozen fruits
2510,whole milk
2509,other vegetables
2509,hamburger meat
2509,cling film/bags
2509,ham
2509,yogurt
2509,root vegetables
2509,rolls/buns
2507,pastry
2507,frozen fish
2507,canned beer
2507,coffee
2507,bottled water
2507,root vegetables
2507,brown bread
2507,pork
2507,soda
2505,whipped/sour cream
2505,butter
2505,yogurt
2505,whole milk
2505,rolls/buns
2505,fruit/vegetable juice
2505,bottled water
2505,processed cheese
2505,frozen vegetables
2505,chicken
2497,whole milk
2497,sausage
2496,cream cheese
2496,pip fruit
2496,UHT-milk
2496,soda
2496,shopping bags
2496,white wine
2496,chicken
2492,canned beer
2492,shopping bags
2492,other vegetables
2492,frozen vegetables
2492,whole milk
2492,root vegetables
2492,beef
2492,soda
2492,soft cheese
2492,butter milk
2492,yogurt
2492,frankfurter
2492,ham
2492,instant coffee
2490,rolls/buns
2490,sausage
2490,white bread
2490,pip fruit
2490,pickled vegetables
2490,shopping bags
2489,cake bar
2489,whole milk
2489,rolls/buns
2489,beverages
2489,bottled beer
2489,herbs
2489,whipped/sour cream
2489,shopping bags
2489,coffee
2488,processed cheese
2488,onions
2488,turkey
2488,root vegetables
2488,bottled water
2488,other vegetables
2485,pip fruit
2485,dessert
2485,onions
2485,hard cheese
2485,other vegetables
2485,pork
2483,whipped/sour cream
2483,pip fruit
2483,citrus fruit
2483,herbs
2483,ice cream
2483,specialty bar
2483,canned beer
2480,pickled vegetables
2480,citrus fruit
2480,yogurt
2480,whole milk
2480,soda
2480,salty snack
2480,frankfurter
2480,fruit/vegetable juice
2480,pork
2480,tropical fruit
2480,other vegetables
2478,citrus fruit
2478,napkins
2478,dessert
2478,soda
2476,pip fruit
2476,root vegetables
2476,citrus fruit
2476,canned beer
2476,butter milk
2476,ketchup
2476,whole milk
2476,coffee
2473,meat
2473,white bread
2473,other vegetables
2473,hard cheese
2473,whole milk
2473,chewing gum
2472,yogurt
2472,herbs
2472,whole milk
2472,sugar
2472,liver loaf
2472,processed cheese
2472,white bread
2472,other vegetables
2471,pork
2471,rolls/buns
2471,meat
2471,hamburger meat
2471,other vegetables
2471,misc. beverages
2471,onions
2471,ice cream
2471,frozen vegetables
2470,bottled water
2470,rolls/buns
2470,canned beer
2470,beverages
2470,whole milk
2470,tropical fruit
2470,pork
2470,oil
2470,red/blush wine
2470,white bread
2469,cream cheese
2469,pasta
2469,whole milk
2469,onions
2469,rolls/buns
2469,pet care
2469,pork
2469,other vegetables
2469,hamburger meat
2469,frozen vegetables
2466,citrus fruit
2466,bottled water
2466,frozen meals
2466,sausage
2466,other vegetables
2466,whole milk
2466,beef
2462,pastry
2462,bottled beer
2462,pork
2462,specialty cheese
2462,candy
2461,whole milk
2461,pastry
2461,bottled water
2461,tropical fruit
2457,frozen fish
2457,fruit/vegetable juice
2457,soda
2457,other vegetables
2457,brown bread
2456,pastry
2456,fruit/vegetable juice
2452,chicken
2452,butter milk
2452,sliced cheese
2452,frankfurter
2452,processed cheese
2452,shopping bags
2452,domestic eggs
2452,canned beer
2452,margarine
2452,beef
2452,coffee
2451,hard cheese
2451,candy
2451,other vegetables
2451,domestic eggs
2451,bottled water
2451,pip fruit
2447,napkins
2447,onions
2447,rolls/buns
2447,chicken
2447,grapes
2447,soda
2447,other vegetables
2447,coffee
2447,frankfurter
2447,soups
2447,root vegetables
2447,chocolate
2447,frozen vegetables
2447,pot plants
2447,yogurt
2447,butter
2447,whole milk
2447,curd cheese
2446,whipped/sour cream
2446,chicken
2446,finished products
2446,cake bar
2446,tropical fruit
2446,pork
2446,rolls/buns
2446,whole milk
